주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
B86,외래,34789.0,893106130.0,1376151980.0,25672.08399206646,39557.10080772658
B86,입원,223.0,304725250.0,373565430.0,1366480.941704036,1675181.3004484305
B87,외래,49.0,1763810.0,3090030.0,35996.12244897959,63061.836734693876
B87,입원,3.0,3958290.0,5873290.0,1319430.0,1957763.3333333333
B88,외래,44168.0,2841094390.0,4004407820.0,64324.7235555153,90663.10043470385
B88,입원,210.0,253316460.0,343242850.0,1206268.857142857,1634489.761904762
B89,외래,845.0,30887990.0,64497650.0,36553.83431952663,76328.5798816568
B89,입원,15.0,32967720.0,44817320.0,2197848.0,2987821.3333333335
B90,외래,5507.0,336504080.0,673280250.0,61104.79026693299,122258.98856001452
B90,입원,65.0,331061500.0,430721540.0,5093253.846153846,6626485.230769231
B91,외래,269.0,16253380.0,28757960.0,60421.48698884758,106906.91449814127
B91,입원,3.0,7742960.0,10086360.0,2580986.6666666665,3362120.0
B92,외래,26.0,1078220.0,1481820.0,41470.0,56993.07692307692
B94,외래,267.0,6216540.0,13831580.0,23282.921348314605,51803.67041198502
B94,입원,10.0,39841100.0,51553940.0,3984110.0,5155394.0
B95,외래,66.0,2747900.0,4193060.0,41634.84848484849,63531.21212121212
B95,입원,93.0,784770210.0,956568520.0,8438389.35483871,10285683.01075269
B96,외래,2272.0,94986250.0,131187280.0,41807.328345070426,57740.880281690144
B96,입원,49.0,216186390.0,261235560.0,4411967.142857143,5331337.959183673
B97,외래,9041.0,787897630.0,1176099630.0,87147.17730339564,130085.1266452826
B97,입원,711.0,675923890.0,757920410.0,950666.511954993,1065992.1378340365
B98,외래,41844.0,1017694730.0,1771590710.0,24321.162651754134,42337.98656916165
B98,입원,31.0,12386960.0,17653510.0,399579.3548387097,569468.0645161291
B99,외래,1555.0,129087450.0,200581440.0,83014.43729903537,128991.27974276527
B99,입원,829.0,1614487410.0,1940458770.0,1947511.9541616405,2340722.279855247
C00,외래,388.0,268594600.0,292252550.0,692254.1237113402,753228.2216494846
C00,입원,75.0,502545340.0,565897520.0,6700604.533333333,7545300.266666667
C01,외래,1044.0,2860577000.0,3071629600.0,2740016.2835249044,2942173.946360153
C01,입원,286.0,3108468270.0,3459667220.0,10868770.174825175,12096738.531468531
C02,외래,4886.0,11308899250.0,12177493020.0,2314551.6270978306,2492323.581661891
C02,입원,1448.0,16732386420.0,19041208530.0,11555515.483425414,13150005.890883978
C03,외래,1126.0,2501636450.0,2686990890.0,2221701.998223801,2386315.1776198936
C03,입원,366.0,4360407200.0,4941214270.0,11913680.87431694,13500585.43715847
C04,외래,503.0,1303437540.0,1394566120.0,2591327.1172962226,2772497.2564612324
C04,입원,157.0,1943128600.0,2204301850.0,12376615.286624204,14040139.171974523
C05,외래,774.0,1750090600.0,1883764980.0,2261098.9664082685,2433804.88372093
C05,입원,234.0,2059038730.0,2303281920.0,8799310.811965812,9843085.128205128
C06,외래,2537.0,6692304220.0,7173734770.0,2637881.0484824595,2827644.7654710286
C06,입원,851.0,10362238780.0,11678608030.0,12176543.807285547,13723393.689776734
C07,외래,2610.0,6615591330.0,7134639210.0,2534709.3218390807,2733578.2413793104
C07,입원,643.0,4247093380.0,4935300630.0,6605121.897356143,7675428.66251944
C08,외래,1996.0,4346249800.0,4722742400.0,2177479.859719439,2366103.406813627
C08,입원,460.0,3287974160.0,3744695100.0,7147769.9130434785,8140641.521739131
C09,외래,3745.0,11110050870.0,11933827610.0,2966635.7463284377,3186602.8331108144
C09,입원,923.0,9013126650.0,10081454820.0,9765034.29035753,10922486.262188517
C10,외래,1343.0,4225178490.0,4513847070.0,3146074.825018615,3361017.9225614294
C10,입원,398.0,3690085620.0,4125981250.0,9271571.909547739,10366787.060301507
C11,외래,3138.0,10414179560.0,11231198360.0,3318731.5360101974,3579094.442319949
C11,입원,842.0,6902088690.0,7708625580.0,8197254.976247031,9155137.268408552
C12,외래,419.0,1543233340.0,1646034600.0,3683134.46300716,3928483.5322195706
C12,입원,181.0,1941468540.0,2152432120.0,10726345.524861878,11891890.165745856
C13,외래,1884.0,7235731990.0,7726278510.0,3840622.07537155,4100997.085987261
C13,입원,844.0,11219359500.0,12459600270.0,13293079.976303317,14762559.561611375
C14,외래,137.0,158686930.0,170796550.0,1158298.7591240876,1246690.1459854015
C14,입원,51.0,411423870.0,465071870.0,8067134.705882353,9119056.274509804
C15,외래,11964.0,34888652950.0,37474319860.0,2916136.154296222,3132256.758609161
C15,입원,5078.0,70312276700.0,77939181680.0,13846450.708940528,15348401.27609295
C16,외래,157093.0,160569874310.0,177388291700.0,1022132.5858567854,1129192.8456392074
C16,입원,39580.0,364051000000.0,412425000000.0,9197852.450732693,10420035.371399697
C17,외래,5570.0,7990768610.0,8723633980.0,1434608.368043088,1566182.0430879712
C17,입원,1902.0,19820685140.0,22440317470.0,10420970.105152471,11798274.169295479
C18,외래,86515.0,121445095150.0,133081603500.0,1403746.1151245448,1538248.8990348494
C18,입원,26107.0,311723000000.0,350066000000.0,11940207.607155168,13408894.166315548
C19,외래,13651.0,18399602060.0,20127417870.0,1347857.4507362098,1474428.0909823456
C19,입원,4157.0,46973362450.0,52671246580.0,11299822.576377194,12670494.726966562
C20,외래,59794.0,110492153740.0,120308920410.0,1847880.2846439441,2012056.7349566845
C20,입원,16520.0,169606237080.0,190878797610.0,10266721.372881357,11554406.634987893
C21,외래,2057.0,5569343340.0,5989059160.0,2707507.7005347596,2911550.393777346
C21,입원,581.0,5449935030.0,6084987140.0,9380266.833046472,10473299.724612737
C22,외래,74035.0,195904442260.0,214203956280.0,2646105.7913149185,2893279.614776795
C22,입원,35000.0,418130000000.0,466547000000.0,11946571.42857143,13329914.285714285
C23,외래,8912.0,13000054720.0,14395751780.0,1458713.500897666,1615322.237432675
C23,입원,4238.0,54521854430.0,60868705270.0,12864996.326097216,14362601.526663521
C24,외래,15618.0,27957115930.0,30518931380.0,1790057.3652196184,1954087.0393136125
C24,입원,9366.0,156863643730.0,173885867230.0,16748200.270125987,18565648.86077301
C25,외래,24573.0,74436016390.0,80413133300.0,3029179.033492044,3272418.235461686
