day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
213,부산,80,26,106,0.24528301886792453,0.06636,0.11167800000000001,0.7148399999999999
214,부산,80,27,107,0.2523364485981308,0.06639,0.1117095,0.7149099999999999
215,부산,80,23,103,0.22330097087378642,0.06641999999999999,0.111741,0.71498
216,부산,80,26,106,0.24528301886792453,0.06645,0.1117725,0.7150499999999999
217,부산,80,26,106,0.24528301886792453,0.06648,0.11180399999999999,0.7151199999999999
218,부산,80,26,106,0.24528301886792453,0.06651,0.11183549999999999,0.7151899999999999
219,부산,80,27,107,0.2523364485981308,0.06654,0.11186699999999998,0.7152599999999999
220,부산,80,25,105,0.23809523809523808,0.06656999999999999,0.11189850000000001,0.7153299999999999
221,부산,80,29,109,0.26605504587155965,0.0666,0.11193,0.7153999999999998
222,부산,80,27,107,0.2523364485981308,0.06663,0.1119615,0.7154699999999998
223,부산,80,27,107,0.2523364485981308,0.06666,0.111993,0.7155399999999998
224,부산,80,26,106,0.24528301886792453,0.06669,0.11202449999999999,0.7156099999999999
225,부산,80,27,107,0.2523364485981308,0.06672,0.11205599999999999,0.7156799999999999
226,부산,80,29,109,0.26605504587155965,0.06675,0.11208749999999998,0.7157499999999998
227,부산,80,25,105,0.23809523809523808,0.06677999999999999,0.11211900000000001,0.7158199999999998
228,부산,80,25,105,0.23809523809523808,0.06681,0.1121505,0.7158899999999998
229,부산,80,26,106,0.24528301886792453,0.06684000000000001,0.112182,0.7159599999999998
230,부산,80,24,104,0.23076923076923078,0.06687,0.1122135,0.7160299999999998
231,부산,80,25,105,0.23809523809523808,0.0669,0.112245,0.7160999999999997
232,부산,80,26,106,0.24528301886792453,0.06692999999999999,0.11227649999999999,0.7161699999999998
233,부산,80,28,108,0.25925925925925924,0.06696,0.11230799999999998,0.7162399999999999
234,부산,80,27,107,0.2523364485981308,0.06699,0.11233950000000001,0.7163099999999999
235,부산,80,27,107,0.2523364485981308,0.06702,0.112371,0.7163799999999999
236,부산,80,28,108,0.25925925925925924,0.06705,0.1124025,0.7164499999999999
237,부산,80,26,106,0.24528301886792453,0.06708,0.11243399999999999,0.7165199999999999
238,부산,80,27,107,0.2523364485981308,0.06711,0.1124655,0.7165899999999998
239,부산,80,26,106,0.24528301886792453,0.06713999999999999,0.11249699999999999,0.7166599999999999
240,부산,80,27,107,0.2523364485981308,0.06717,0.1125285,0.7167299999999999
241,부산,80,25,105,0.23809523809523808,0.06720000000000001,0.11256000000000001,0.7167999999999999
242,부산,80,21,101,0.2079207920792079,0.06723,0.1125915,0.7168699999999999
243,부산,80,26,106,0.24528301886792453,0.06726,0.112623,0.7169399999999998
244,부산,80,29,109,0.26605504587155965,0.06728999999999999,0.11265449999999999,0.7170099999999998
245,부산,80,28,108,0.25925925925925924,0.06731999999999999,0.112686,0.7170799999999998
246,부산,80,28,108,0.25925925925925924,0.06735000000000001,0.11271749999999998,0.7171499999999998
247,부산,80,29,109,0.26605504587155965,0.06738,0.112749,0.7172199999999999
248,부산,80,26,106,0.24528301886792453,0.06741,0.1127805,0.7172899999999998
249,부산,80,27,107,0.2523364485981308,0.06744,0.112812,0.7173599999999998
250,부산,80,25,105,0.23809523809523808,0.06747,0.1128435,0.7174299999999998
